rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category
dragntr,Dragon Treasure (Rev B) (GDS-0030B),2003,Sega,0,0,unknown,false,,
dragntr2,Dragon Treasure 2 (Rev A) (GDS-0037A),2004,Sega,0,0,unknown,false,,
dragntr3,Dragon Treasure 3 (Rev A) (GDS-0041A),2005,Sega,0,0,unknown,false,,
dragntra,Dragon Treasure (Rev A) (GDS-0030A),2003,Sega,0,0,unknown,true,dragntr,
dybb99,"Dynamite Baseball '99 (Japan, Rev B)",1999,Sega,0,0,unknown,false,,
dybbnao,Dynamite Baseball NAOMI (Japan),1998,Sega,0,0,unknown,false,,
dygolf,Virtua Golf / Dynamic Golf (Rev A) (GDS-0009A),2001,Sega,0,0,unknown,false,,
f355,"Ferrari F355 Challenge (deluxe, no link)",1999,Sega,0,0,unknown,false,,
f355twin,Ferrari F355 Challenge (twin/deluxe),1999,Sega,0,0,unknown,false,,
f355twinp,"Ferrari F355 Challenge (twin/deluxe, preview)",1999,Sega,0,0,unknown,true,f355twin,
f355twn2,Ferrari F355 Challenge 2 - International Course Edition (twin/deluxe),2001,Sega,0,0,unknown,false,,
fotns,Fist Of The North Star / Hokuto no Ken,2005,Arc System Works / Sega,0,0,unknown,false,,
ftspeed,Faster Than Speed,2004,Sammy,0,0,unknown,false,,
galilfac,Galileo Factory (main),2008,Sega,0,0,unknown,false,,
ggisuka,Guilty Gear Isuka,2004,Arc System Works / Sammy,0,0,unknown,false,,
ggram2,Giant Gram: All Japan Pro Wrestling 2 (Japan),1999,Sega,0,0,unknown,false,,
ggx,Guilty Gear X,2000,Arc System Works,0,0,unknown,false,,
ggx15,Guilty Gear X ver. 1.5,2003,Arc System Works / Sammy,0,0,unknown,false,,
ggxx,Guilty Gear XX (GDL-0011),2002,Arc System Works,0,0,unknown,false,,
ggxxac,Guilty Gear XX Accent Core (Japan) (GDL-0041),2006,Arc System Works,0,0,unknown,false,,
ggxxrl,"Guilty Gear XX #Reload (Japan, Rev A) (GDL-0019A)",2003,Arc System Works,0,0,unknown,false,,
ggxxrlo,Guilty Gear XX #Reload (Japan) (GDL-0019),2003,Arc System Works,0,0,unknown,true,ggxxrl,
ggxxsla,"Guilty Gear XX Slash (Japan, Rev A) (GDL-0033A)",2005,Arc System Works,0,0,unknown,false,,
gram2000,Giant Gram 2000,2000,Sega,0,0,unknown,false,,
gundmct,Mobile Suit Gundam: Federation Vs. Zeon,2001,Banpresto / Capcom,0,0,unknown,false,,
gundmgd,Mobile Suit Gundam: Federation Vs. Zeon (GDL-0001),2001,Capcom / Banpresto,0,0,unknown,false,,
gundmxgd,"Mobile Suit Gundam: Federation Vs. Zeon DX (USA, Japan) (GDL-0006)",2001,Capcom,0,0,unknown,false,,
gunsur2,"Gun Survivor 2 Biohazard Code: Veronica (World, BHF2 Ver.E)",2001,Capcom / Namco,0,0,unknown,false,,
gunsur2j,"Gun Survivor 2 Biohazard Code: Veronica (Japan, BHF1 Ver.E)",2001,Capcom / Namco,0,0,unknown,true,gunsur2,
gwing2,Giga Wing 2,2000,Takumi / Capcom,0,0,unknown,false,,
hmgeo,Heavy Metal: Geomatrix (Rev B),2001,Capcom,0,0,unknown,false,,
hopper,SWP Hopper Board,2002,Sega,0,0,unknown,false,,
ikaruga,Ikaruga (GDL-0010),2001,Treasure,0,270,unknown,false,,
illvelo,Illvelo (Illmatic Envelope) (Japan),2008,Milestone,0,270,unknown,false,,
initd,"Initial D Arcade Stage (Japan, Rev B) (GDS-0020B)",2002,Sega,0,0,unknown,false,,
initdexp,"Initial D Arcade Stage (Export, Rev A) (GDS-0025A)",2002,Sega,0,0,unknown,false,,
initdexpo,Initial D Arcade Stage (Export) (GDS-0025),2002,Sega,0,0,unknown,true,initdexp,
initdo,Initial D Arcade Stage (Japan) (GDS-0020),2002,Sega,0,0,unknown,true,initd,
initdv2e,Initial D Arcade Stage Ver. 2 (Export) (GDS-0027),2003,Sega,0,0,unknown,true,initdv2j,
initdv2j,"Initial D Arcade Stage Ver. 2 (Japan, Rev B) (GDS-0026B)",2003,Sega,0,0,unknown,false,,
initdv2ja,"Initial D Arcade Stage Ver. 2 (Japan, Rev A) (GDS-0026A)",2002,Sega,0,0,unknown,true,initdv2j,
initdv2jo,Initial D Arcade Stage Ver. 2 (Japan) (GDS-0026),2002,Sega,0,0,unknown,true,initdv2j,
initdv3e,Initial D Arcade Stage Ver. 3 (Export) (GDS-0033),2004,Sega,0,0,unknown,false,,
initdv3j,"Initial D Arcade Stage Ver. 3 (Japan, Rev C) (GDS-0032C)",2004,Sega,0,0,unknown,false,,
initdv3jb,"Initial D Arcade Stage Ver. 3 (Japan, Rev B) (GDS-0032B)",2004,Sega,0,0,unknown,true,initdv3j,
inunoos,"Inu no Osanpo / Dog Walking (Japan, Export, Rev A)",2001,Wow Entertainment / Sega,0,0,unknown,false,,
isshoni,Isshoni Wanwan Waiwai Puppy 2008,2008,Sega,0,0,unknown,false,,
jambo,Jambo! Safari (Rev A),1999,Sega,0,0,unknown,false,,
jingystm,Jingi Storm - The Arcade (Japan) (GDL-0037),2006,Atrativa Japan,0,0,unknown,false,,
karous,Karous (Japan) (GDL-0040),2006,Milestone,0,270,unknown,false,,
keyboard,La Keyboard (GDS-0017),2001,Sega / G.Rev,0,0,unknown,false,,
kingrt66,The King of Route 66 (Rev A),2002,Sega,0,0,unknown,false,,
