rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category
wccf234j,World Club Champion Football Serie A 2002-2003 Ver.2.34 (Japan) (CDV-10008),2004,Hitmaker / Sega,0,0,unknown,false,,
wccf310j,World Club Champion Football European Clubs 2004-2005 (Asia) (CDV-10013),2005,Sega,0,0,unknown,false,,
wccf322e,World Club Champion Football European Clubs 2004-2005 Ver.3.22 (Export) (CDV-10015P),2005,Sega,0,0,unknown,false,,
wccf331e,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Export) (CDV-10015),2005,Sega,0,0,unknown,true,wccf322e,
wccf331j,World Club Champion Football European Clubs 2004-2005 Ver.1.1 (Japan) (CDV-10020),2005,Sega,0,0,unknown,true,wccf341j,
wccf341j,World Club Champion Football European Clubs 2004-2005 Ver.1.2 (Japan) (CDV-10021),2006,Sega,0,0,unknown,false,,
wccf400j,World Club Champion Football European Clubs 2005-2006 (Japan) (CDV-10025),2006,Sega,0,0,unknown,false,,
wccf420e,World Club Champion Football European Clubs 2005-2006 (Export) (CDV-10027),2006,Sega,0,0,unknown,false,,
westdrmg,Western Dream Gold,2009,Sega,0,0,unknown,false,,
wldkicks,"World Kicks (World, WK2 Ver.A)",2000,Namco,0,0,unknown,false,,
wldkicksj,"World Kicks (Japan, WK1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkickspj,"World Kicks PCB (Japan, WKC1 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkickspw,"World Kicks PCB (World, WKC2 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldkicksu,"World Kicks (US, WK3 Ver.A)",2000,Namco,0,0,unknown,true,wldkicks,
wldrider,Wild Riders,2001,Wow Entertainment / Sega,0,0,unknown,false,,
wrungpo,"Wave Runner GP (USA, Rev A)",2001,CRI / Sega,0,0,unknown,true,wrungp,
wsbbgd,World Series Baseball / Super Major League (GDS-0010),2001,Sega,0,0,unknown,false,,
wwfroyal,WWF Royal Rumble,2000,Sega,0,0,unknown,false,,
xtrmhnt2,Extreme Hunting 2,2006,Sega,0,0,unknown,false,,
xtrmhunt,Extreme Hunting,2004,Sammy,0,0,unknown,false,,
zerogu2,Zero Gunner 2,2001,Psikyo,0,0,unknown,false,,
zombrvn,Zombie Revenge (Rev A),1999,Sega,0,0,unknown,false,,
zombrvne,Zombie Revenge (Export),1999,Sega,0,0,unknown,true,zombrvn,
zombrvno,Zombie Revenge,1999,Sega,0,0,unknown,true,zombrvn,
zunou,"Touch De Zunou (Japan, Rev A)",2006,Sega,0,0,unknown,false,,
